hospital_name,list_page_url,base_url,listing_selector,list_title_selector,link_selector
重庆医科大学附属第一医院,https://www.hospital-cqmu.com/gw_zpyc_zpgg,https://www.hospital-cqmu.com/,ul.mt40 li,p span,a
重庆医科大学附属儿童医院,http://www.chcmu.com/rczp/qtryzp.htm,https://www.chcmu.com/,body > section.n_container > div > div.rightBox > div.n_list > ul > li,body > section.n_container > div > div.rightBox > div.n_list > ul > li > a,body > section.n_container > div > div.rightBox > div.n_list > ul > li > a
重庆医科大学附属第二医院,https://www.cqsahcqmu.cn/index.php?c=category&id=56,https://www.sahcqmu.cn/,ul.clearfix li,h5,a
重庆市急救医疗中心,https://www.120cq.com.cn/rsrc_ryzl/,https://www.120cq.com.cn/,li:has(div.news-list-info),h2 a,h2 a
重庆医科大学附属大学城医院,http://www.uhcmu.com/xxfb/rczp/gwxq.htm,http://www.uhcmu.com/,div.fl.tzgg-list-left ul li,a,a
重庆医科大学附属口腔医院,https://www.cqdent.com/html/xwzx/ggtz/List_2.shtml,https://www.cqdent.com/,div.sortlist dl dd ul li,a,a
重庆市渝北区人民医院,https://www.ybqrmyy.com/pageList.html?mId=39&page=1,https://www.ybqrmyy.com/,#pagerAppender > div > div > ul > li,a,a
重庆医药高等专科学校附属第一医院,http://www.cqszfy.com/gsgg/rczp1.htm,http://www.cqszfy.com/,ul.list1 li,a.tit,a.tit
重庆市第九人民医院,https://www.cq9yuan.com/hr_notice/,https://www.cq9yuan.com/,ul.info-list li,a,a
重庆市北碚中医院,https://www.cqbbzyy.com/index.php?c=category&id=291,https://www.cqbbzyy.com/,ul.rczpul.clearfix li.rczpli.clearfix.wow,div.rczptitle a,div.rczptitle a
重庆医科大学附属巴南医院,https://bnrmyy.cn/rczp,https://www.bnyy.com/,ul.pageTPList,a.tit,a.tit
重庆大学附属江津医院,http://www.jjhospital.com.cn/html/xxgg/rszp/,http://www.jjhospital.com.cn/,ul.in-new li,a,a
重庆市江津区中医院,http://www.jjzyy.com/category/305/list_305_1.html,http://www.jjzyy.com/,ul.list li.list-item,a.list-item-title,a.list-item-title
重庆医科大学附属永川医院,https://www.ychcqmu.com/recruitment_system_rszp_qtryzp,https://www.ychcqmu.com/,ul li,a p.tit,a
重庆医科大学附属璧山医院,https://www.bsrmyy.com/rczp/zpgg,https://www.bsrmyy.com/,ul.in51,div.det span,a
重庆市铜梁区人民医院,http://www.cqstlqrmyy.cn/html/xxfb/ryzp/,http://www.cqstlqrmyy.cn/,div.newsList,div.name,a
重庆市合川区人民医院,http://www.hcrmyy.cn/,http://www.hcrmyy.cn/,ul.n2.xx2_lb li:has(a[href*='/list/287/']),a[href*='/list/287/'],a[href*='/list/287/']
重庆市荣昌区人民医院,http://www.cqrc120.cn/human_resources/,http://www.cqrc120.cn/,ul.info-list li,a,a
重庆市南川区人民医院,http://www.ncrmyy.com/html/yczp/,http://www.ncrmyy.com/,ul.in-new-ul li,div.lef a,a
重庆大学附属三峡医院,https://sxyy.cqu.edu.cn/rczl1/rczl.htm,https://sxyy.cqu.edu.cn/,div.list_box ul li,a,a
重庆市开州区人民医院,https://www.cqskzqrmyy.cn/Category_52/Index.aspx,https://www.cqskzqrmyy.cn/,ul.newsList li,li.first a,li.first a
重庆大学附属黔江医院,https://www.qjzxyy.cn/list/?id=16,https://www.qjzxyy.cn/,ul.lb-list li,a.title.clamp,a.title.clamp
成都市第三人民医院,https://www.cd3hospital.com/hos_hr,https://www.cd3hospital.com,div.txt-list-wrap.mt40 ul.txt-list li,a,a
四川省中医药科学院,https://www.scsgkyy.com/recruit/,https://www.scsgyky.com,li.common-news-wrapper,a.common-news-title,a.common-news-title
四川省第四人民医院,https://www.scsdsrmyy.cn/news_notes_job/,https://www.scsdsrmyy.cn,ul#news-list li,h2 a,h2 a
