domain,base_url,selector_hospital_names,official_url_examples,sources,total_records
13hospital.cn,http://www.13hospital.cn/,,http://www.13hospital.cn/home/detail/news?id=3313,官网url.txt,1
3-hospital-cqmu.com,http://www.3-hospital-cqmu.com/,,http://www.3-hospital-cqmu.com/rczp/rencaizhaopin/2023/0404/8578.html,官网url.txt,1
3fy.cdutcm.edu.cn,http://3fy.cdutcm.edu.cn/,,http://3fy.cdutcm.edu.cn/index.php?m=home&c=View&a=index&aid=303,官网url.txt,1
416h.com,https://www.416h.com/,,https://www.416h.com/main/list/1_132.html,官网url.txt,1
81rc.81.cn,http://81rc.81.cn/,,http://81rc.81.cn/news/2023-01/11/content_10211199.htm,官网url.txt,1
8888120.cn,http://www.8888120.cn/,,http://www.8888120.cn/editor/display.html?id=415d3o5c415d3s3g,官网url.txt,1
903yy.com.cn,https://www.903yy.com.cn/,,https://www.903yy.com.cn/Html/News/TongZhiGongGao/202506/202506126Sn8Hl9Se7Gh2364695.html,官网url.txt,1
abazhou.gov.cn,https://www.abazhou.gov.cn/,,https://www.abazhou.gov.cn/abazhou/c101965/202510/55624e4528c04da0885f35cdf500d6b7.shtml,官网url.txt,1
abjinchuan.gov.cn,https://www.abjinchuan.gov.cn/,,https://www.abjinchuan.gov.cn/jinchuanxian/c100053/202507/b8ff81004aa742e8bd090868f06d216f.shtml,官网url.txt,1
abzrmyy.cn,http://abzrmyy.cn/,,http://abzrmyy.cn/News/View.asp?ID=9123,官网url.txt,1
abzrmyy.com,http://www.abzrmyy.com/,,http://www.abzrmyy.com/News/View.asp?ID=8382,官网url.txt,1
anzhou.gov.cn,https://www.anzhou.gov.cn/,,https://www.anzhou.gov.cn/anzhou/c106079/202508/e38a4f04870e4911bb2fb70ee42493a2.shtml,官网url.txt,1
ayxzyyy.com,http://www.ayxzyyy.com/,,http://www.ayxzyyy.com/plus/advancedsearch.scjg,官网url.txt,1
azqfybjy.cn,http://www.azqfybjy.cn/,,http://www.azqfybjy.cn/content/?887.html,官网url.txt,1
baoxing.gov.cn,http://www.baoxing.gov.cn/,,http://www.baoxing.gov.cn/gongkai/show/48d54396ff4c9a2c43db3e80f57cc8ba.html,官网url.txt,1
beichuan.gov.cn,http://www.beichuan.gov.cn/,,http://www.beichuan.gov.cn/beichuan/c108474/202509/8eebe7fcada34a0685bc254697cc3dfe.shtml,官网url.txt,1
bishan.gov.cn,https://www.bishan.gov.cn/,,https://www.bishan.gov.cn/zwgk_241/gsgg/zlxx/202408/t20240827_13560967.html,官网url.txt,1
bsfybjy.com,https://www.bsfybjy.com/,,https://www.bsfybjy.com/rczp/zzzp/content_394743,官网url.txt,1
bt.gov.cn,http://www.bt.gov.cn/,,http://www.bt.gov.cn/zfxxgk/zfxxgknr/tzgg_31367/202309/t20230920_2556313.html,官网url.txt,1
bzqzf.gov.cn,http://www.bzqzf.gov.cn/,,http://www.bzqzf.gov.cn/zwgk/jbxxgk/gsgg/11626322.html,官网url.txt,1
bzsfybjy.cn,https://www.bzsfybjy.cn/,,https://www.bzsfybjy.cn/Article-2279.shtml,官网url.txt,1
bzswzzb.gov.cn,http://www.bzswzzb.gov.cn/,,http://www.bzswzzb.gov.cn/tzgg/22362974.html,官网url.txt,1
ccbc.org.cn,https://www.ccbc.org.cn/,,https://www.ccbc.org.cn/rlzy/20250722/307354.html,官网url.txt,1
ccphc.com.cn,http://www.ccphc.com.cn/,,http://www.ccphc.com.cn/html/content/24/01/2980.shtml,官网url.txt,1
cd120.com,http://www.cd120.com/,,http://www.cd120.com/public/notice/recruit/69976.html,官网url.txt,1
cd5120.cn,https://www.cd5120.cn/,,https://www.cd5120.cn/news_zxns/2024/1aMZ6mbW.html,官网url.txt,1
cd5120.com,https://www.cd5120.com/,,https://www.cd5120.com/news_zxns/2022/vbmQXrbY.html,官网url.txt,1
cdet-hospital.com,https://www.cdet-hospital.com/,,https://www.cdet-hospital.com/thread-5335-1.html,官网url.txt,1
cdhrss.chengdu.gov.cn,http://cdhrss.chengdu.gov.cn/,,http://cdhrss.chengdu.gov.cn/cdrsj/c136418/2021-08/09/content_187d5155996c4909ad5a980af312b970.shtml,官网url.txt,1
cdht.gov.cn,http://www.cdht.gov.cn/,,http://www.cdht.gov.cn/cdgxq/c139819/2021-09/16/content_fd5315e6b1af40f69d2c0509c7d05af4.shtml,官网url.txt,1
cdjjfy.com,https://www.cdjjfy.com/,,https://www.cdjjfy.com/zhaopin/zhiwei/,官网url.txt,1
cdlqyyy.com,https://www.cdlqyyy.com/,,https://www.cdlqyyy.com/newshow.aspx?mid=446&id=21388,官网url.txt,1
cdlyy.com,http://www.cdlyy.com/,,http://www.cdlyy.com/news-cont.aspx?mid=99&sid=&id=24130,官网url.txt,1
cdp.edu.cn,https://www.cdp.edu.cn/,,https://www.cdp.edu.cn/zzrsc/info/1033/1620.htm,官网url.txt,1
cdpta.cdhrss.chengdu.gov.cn,http://cdpta.cdhrss.chengdu.gov.cn/,,http://cdpta.cdhrss.chengdu.gov.cn/netpage/examinfo.do,官网url.txt,1
cdqingyang.gov.cn,http://www.cdqingyang.gov.cn/,,http://www.cdqingyang.gov.cn/gkml/zkly/1287808626404098048.shtml,官网url.txt,1
cdsjsby.com,http://www.cdsjsby.com/,,http://www.cdsjsby.com/a/zhaopinxinxi/20210726/306.html,官网url.txt,1
cdsxdqdsrmyy.com,http://www.cdsxdqdsrmyy.com/,,http://www.cdsxdqdsrmyy.com/view/607.html,官网url.txt,1
cdsxdqzyyy.cn,https://cdsxdqzyyy.cn/,,https://cdsxdqzyyy.cn/detail/3494.html,官网url.txt,1
cdtf.gov.cn,http://www.cdtf.gov.cn/,,http://www.cdtf.gov.cn/cdtfxq/c130530/2023-10/10/content_2d4abd9187454ad4a7be4fd2e2f76ac9.shtml,官网url.txt,1
cdutcm.edu.cn,https://cdutcm.edu.cn/,,https://cdutcm.edu.cn/rsc/rczp/zpgg/content_128674,官网url.txt,1
cdwh.gov.cn,http://www.cdwh.gov.cn/,,http://www.cdwh.gov.cn/wuhou/c109339/2022-12/30/content_2764038701fa4f6b8ee1a363a217776f.shtml,官网url.txt,1
cdwjw.chengdu.gov.cn,http://cdwjw.chengdu.gov.cn/,,http://cdwjw.chengdu.gov.cn/cdwjw/tzgg/2023-02/21/content_542033fadd584e22a0499d812a5f48b3.shtml,官网url.txt,1
cghhospital.org,https://www.cghhospital.org/,,https://www.cghhospital.org/deucate_pub/2023/NbWwJJby.html,官网url.txt,1
cghospital.com,http://www.cghospital.com/,,http://www.cghospital.com/html/content/24/04/24586.shtml,官网url.txt,1
cgj.luzhou.gov.cn,https://cgj.luzhou.gov.cn/,,https://cgj.luzhou.gov.cn/xxgk/tzggs/content_1051112,官网url.txt,1
chenghua.gov.cn,http://www.chenghua.gov.cn/,,http://www.chenghua.gov.cn/chqrmzfw/c144208/2023-03/20/content_a088574ff7e040c1a1e49d05862d74bb.shtml,官网url.txt,1
chfybjy.cn,http://www.chfybjy.cn/,,http://www.chfybjy.cn/go.html?url=xq2&k=ren_cai_zhao_pin&i=17840,官网url.txt,1
chfybjy.com,http://www.chfybjy.com/,,http://www.chfybjy.com/go.html?url=xq2&k=ren_cai_zhao_pin&i=15674,官网url.txt,1
chongzhou.gov.cn,http://www.chongzhou.gov.cn/,,http://www.chongzhou.gov.cn/chongzhou/c139022/2023-08/30/content_239b4b23f5e94365bbf92b7e6bdfbcbe.shtml,官网url.txt,1
chuanshan.gov.cn,https://www.chuanshan.gov.cn/,,https://www.chuanshan.gov.cn/gongkai/show/16c9b0c9d3aea74389c173ff00be5a9d.html,官网url.txt,1
ckxw.net,https://www.ckxw.net/,,https://www.ckxw.net/kszl/news/2023-12/1508_139619.shtml,官网url.txt,1
cnbz.gov.cn,https://www.cnbz.gov.cn/,,https://www.cnbz.gov.cn/xxgk/gsgg/13391153.html,官网url.txt,1
cncx.gov.cn,https://www.cncx.gov.cn/,,https://www.cncx.gov.cn/gongkai/show/20250908160929102.html,官网url.txt,1
cnqc.gov.cn,http://www.cnqc.gov.cn/,,http://www.cnqc.gov.cn/NewDetail.aspx?id=20210713083442455,官网url.txt,1
cnsnvc.edu.cn,https://www.cnsnvc.edu.cn/,,https://www.cnsnvc.edu.cn/info/1017/11190.htm,官网url.txt,1
cnxcrc.com,http://www.cnxcrc.com/,,http://www.cnxcrc.com/html/news/2022/0328/15959.htm,官网url.txt,1
cnyz.edu.cn,http://www.cnyz.edu.cn/,,http://www.cnyz.edu.cn/p/9/?StId=st_app_news_i_x638048796119935776,官网url.txt,1
cnzh.gov.cn,http://www.cnzh.gov.cn/,,http://www.cnzh.gov.cn/News/Detail/20210731084002643.html,官网url.txt,1
cq11hospital.cn,https://www.cq11hospital.cn/,,https://www.cq11hospital.cn//cqsjsby/html/zpzlNew/20250904/60398.html,官网url.txt,1
cq11yy.cn,http://www.cq11yy.cn/,,http://www.cq11yy.cn/cqsjsby/html/ywgk/20230130/20118.html,官网url.txt,1
cq7y.com,https://www.cq7y.com/,,https://www.cq7y.com/announcement_rczp/2023/0203860002090.htm,官网url.txt,1
cqcdc.org,http://www.cqcdc.org/,,http://www.cqcdc.org/index.php?a=shows&catid=14&id=1031,官网url.txt,1
cqch.cn,https://www.cqch.cn/,,https://www.cqch.cn/news_job/2021/pmbk8xdz.html,官网url.txt,1
cqck.gov.cn,http://www.cqck.gov.cn/,,http://www.cqck.gov.cn/bm/rlsbj/sydwzk/202507/t20250708_14798102.html,官网url.txt,1
cqcs.gov.cn,http://www.cqcs.gov.cn/,,http://www.cqcs.gov.cn/zwxx_164/gggs/202211/t20221118_11313268.html,官网url.txt,1
cqcsyy.cn,http://www.cqcsyy.cn/,,http://www.cqcsyy.cn/www/site/site_index_2_0.shtml,官网url.txt,1
cqdjxyy.cn,https://www.cqdjxyy.cn/,,https://www.cqdjxyy.cn/html/content/25/07/682.shtml,官网url.txt,1
cqdjxyy.com,http://www.cqdjxyy.com/,,http://www.cqdjxyy.com/html/yygg/zpxx/21/09/3580-1.html,官网url.txt,1
cqdjzyy.com,http://www.cqdjzyy.com/,,http://www.cqdjzyy.com/page51?article_id=1832,官网url.txt,1
cqdongnanhospital.com,http://www.cqdongnanhospital.com/,,http://www.cqdongnanhospital.com/html/xwdt/tzgg/22/03/3598.html,官网url.txt,1
cqfd.gov.cn,https://www.cqfd.gov.cn/,,https://www.cqfd.gov.cn/zwgk_200/fdzdgknr/qt/sydwzk/202510/t20251014_15077469.html,官网url.txt,1
cqgkyy.cn,http://www.cqgkyy.cn/,,http://www.cqgkyy.cn/html/content/21/09/1630.shtml,官网url.txt,1
cqhxyy.com,http://www.cqhxyy.com/,,http://www.cqhxyy.com/index.php?c=article&id=127,官网url.txt,1
cqjb.gov.cn,http://www.cqjb.gov.cn/,,http://www.cqjb.gov.cn/zwxx_190/bmjz/202211/t20221129_11343389.html,官网url.txt,1
cqjzc.edu.cn,https://www.cqjzc.edu.cn/,,https://www.cqjzc.edu.cn/info/1028/4520.htm,官网url.txt,1
cqkz.gov.cn,http://www.cqkz.gov.cn/,,http://www.cqkz.gov.cn/zwgk_238/zfxxgkml/sydwgz/202309/t20230928_12391259.html,官网url.txt,1
cqkzfybjy.com,https://www.cqkzfybjy.com/,,https://www.cqkzfybjy.com/html/rencaizhaopin/558.html,官网url.txt,1
cqlp.gov.cn,http://www.cqlp.gov.cn/,,http://www.cqlp.gov.cn/rlsbj/zwgk_28909/ryzp/202308/t20230822_12263454.html,官网url.txt,1
cqmu.bysjy.com.cn,http://cqmu.bysjy.com.cn/,,http://cqmu.bysjy.com.cn/detail/news?id=623469&type_id=7581,官网url.txt,1
cqmu.edu.cn,https://www.cqmu.edu.cn/,,https://www.cqmu.edu.cn/info/1068/3832.htm,官网url.txt,1
cqna.gov.cn,https://www.cqna.gov.cn/,,https://www.cqna.gov.cn/zwxx_254/gsgg/202510/t20251024_15111227.html,官网url.txt,1
cqnvc.com,http://www.cqnvc.com/,,http://www.cqnvc.com/info/1018/2943.htm,官网url.txt,1
cqqj.gov.cn,http://www.cqqj.gov.cn/,,http://www.cqqj.gov.cn/zwxx/gggs/202309/t20230915_12343920.html,官网url.txt,1
cqrc.net,https://www.cqrc.net/,,https://www.cqrc.net/government/item-25251.html,官网url.txt,1
cqrc120.com,http://www.cqrc120.com/,,http://www.cqrc120.com/human_resources/,官网url.txt,1
cqsdj.gov.cn,http://www.cqsdj.gov.cn/,,http://www.cqsdj.gov.cn/bmjz/bm/rlzyhshbzj/zfxxgkml_124879/sydwgkzp/202308/t20230829_12281238.html,官网url.txt,1
cqsfybjy.com,https://www.cqsfybjy.com/,,https://www.cqsfybjy.com/,官网url.txt,1
cqstl.gov.cn,https://www.cqsfybjy.com/,,https://www.cqstl.gov.cn/jz/tqz_70779/zwgk_70755/fdzdgknr_70758/qtgknr/qtxx/202510/t20251009_15065264.html,官网url.txt,1
cqstnqzyy.com,https://www.cqsfybjy.com/,,http://www.cqstnqzyy.com/html/content/21/08/1332.shtml,官网url.txt,1
